model_unique_id,test_mse,test_rmse,test_mae,timestamp,test_mse,test_rmse,test_mae
AE_RECONSTRUCT_27_05_2024_11:30:02,0.13690161889791488,0.3685442795753479,0.23540929901599883,2024-05-27-11:37:12_,0.3291282653808594,0.13690161889791488,0.3685442795753479,0.23540929901599883
AE_TOKEN_RECONSTRUCT_27_05_2024_11:41:40,0.1486918632388115,0.3842814965248108,0.25511598658561707,2024-05-27-11:49:48_,0.3767116069793701,0.1486918632388115,0.3842814965248108,0.25511598658561707
DAE_RECONSTRUCT_27_05_2024_11:49:50,0.1339646669626236,0.36446248078346255,0.2242692654132843,27_05_2024_11:49:50,0.3172423839569092,0.1339646669626236,0.36446248078346255,0.2242692654132843
AE_RECONSTRUCT_27_05_2024_12:05:05,0.13690161889791488,0.3685442795753479,0.23540929901599883,27_05_2024_12:05:05,0.30159616470336914,0.13690161889791488,0.3685442795753479,0.23540929901599883
AE_TOKEN_RECONSTRUCT_27_05_2024_12:11:54,0.1486918632388115,0.3842814965248108,0.25511598658561707,27_05_2024_12:11:54,0.2931687831878662,0.1486918632388115,0.3842814965248108,0.25511598658561707
DAE_RECONSTRUCT_27_05_2024_12:18:51,0.1339646669626236,0.36446248078346255,0.2242692654132843,27_05_2024_12:18:51,0.2951052188873291,0.1339646669626236,0.36446248078346255,0.2242692654132843
DAE_TOKEN_RECONSTRUCT_27_05_2024_12:26:02,0.13230407613515854,0.3621209361553192,0.22879892313480377,27_05_2024_12:26:02,0.30008935928344727,0.13230407613515854,0.3621209361553192,0.22879892313480377
AE_EMBEDDING_TARGET_03_06_2024_18:05:28,0.0,0.0,0.0,03_06_2024_18:05:28,2.654876470565796,0.0,0.0,0.0
AE_EMBEDDING_TARGET_03_06_2024_18:07:16,0.0,0.0,0.0,03_06_2024_18:07:16,0.25484752655029297,0.0,0.0,0.0
AE_EMBEDDING_TARGET_03_06_2024_18:08:22,0.0,0.0,0.0,03_06_2024_18:08:22,352.1019208431244,0.0,0.0,0.0
AE_EMBEDDING_TARGET_03_06_2024_18:51:13,0.0,0.0,0.0,03_06_2024_18:51:13,0.2652468681335449,0.0,0.0,0.0
AE_EMBEDDING_TARGET_03_06_2024_18:52:26,0.0,0.0,0.0,03_06_2024_18:52:26,9.84420394897461,0.0,0.0,0.0
AE_EMBEDDING_TARGET_03_06_2024_19:05:05,0.006460633602988706,0.0015780499622963385,0.907563025210084,03_06_2024_19:05:05,7.768480062484741,0.006460633602988706,0.0015780499622963385,0.907563025210084
AE_EMBEDDING_TARGET_05_06_2024_10:11:33,0.020952939365401334,0.007448810815433052,0.8214285714285714,05_06_2024_10:11:33,11.874547719955444,0.020952939365401334,0.007448810815433052,0.8214285714285714
AE_EMBEDDING_TARGET_05_06_2024_13:21:38,0.03442503078817734,0.013101342105562994,0.9516806722689075,05_06_2024_13:21:38,12.067538976669312,0.03442503078817734,0.013101342105562994,0.9516806722689075
AE_RECONSTRUCT_28_06_2024_09:53:52,0.5295052673816681,0.7262888524532318,0.5568919453620911,28_06_2024_09:53:52,0.5687272548675537,0.5295052673816681,0.7262888524532318,0.5568919453620911
